Protein Names,Gene Names,Majority Protein IDs,LFQ Intensity [log10],Sequence Coverage [%],Number of Peptides,FDA-approved Biomarker,Act in Plasma ,Tissue Leakage ,Receptor Ligands,Concentration according to Plasma Proteome Database [log10(pg/ml)],Q-value
Fibrinogen alpha chain;Fibrinopeptide A;Fibrinogen alpha chain,FGA,P02671-2,NaN,65.4,48,,,,,9.01,0.003
Fibrinogen beta chain;Fibrinopeptide B;Fibrinogen beta chain,FGB,P02675;B4E1D3;D6REL8,11.42,65.2,34,+,+,,,8.54,0.000
Fibrinogen gamma chain,FGG,P02679;P02679-2;C9JC84;C9JEU5,11.36,69.8,31,+,+,,,8.43,0.000
Fibrinogen-like protein 1,FGL1,Q08830;E7ERS0,8.17,9.6,3,,,,,3.36,0.000
Fibroblast growth factor receptor 1,FGFR1,P11362;P11362-11;P11362-10;P11362-9;P11362-8;P11362-4;P11362-3;P11362-20;P11362-2;P11362-16;P11362-13;P11362-12;P11362-6;P11362-5;E9PNM3;E9PN14;E9PKV7,7.61,1.6,1,,,,,3.30,0.000
Fibrocystin-L,PKHD1L1,Q86WI1,6.73,0.4,1,,,,,NaN,0.000
Fibronectin;Anastellin;Ugl-Y1;Ugl-Y2;Ugl-Y3,FN1,P02751;P02751-8;P02751-3;P02751-15;P02751-14;P02751-7;E9PE77;E7ERA1;P02751-9;P02751-11;P02751-5;P02751-10;P02751-6;F8W7G7;P02751-13;P02751-4;P02751-12;H0Y7Z1,10.80,31.3,54.99999,+,+,,,7.64,0.000
Fibulin-1,FBLN1,P23142-4;B1AHL2,8.31,11.0,6,,,,,7.23,0.000
Fibulin-1,FBLN1,P23142;P23142-3;F8W7M9;CON__ENSEMBL:ENSBTAP00000016046,9.49,18.5,11,,,,,7.23,0.000
Ficolin-1,FCN1,O00602,6.38,9.2,3,,,,,6.28,0.000
Ficolin-2,FCN2,Q15485;Q15485-2,8.64,14.7,6,,,,,4.43,0.000
Ficolin-3,FCN3,O75636;O75636-2,9.52,28.8,9,,,,,6.00,0.000
Filaggrin,FLG,P20930;CON__P20930,6.72,0.2,1,,,,,2.91,0.000
Filaggrin-2,FLG2,Q5D862;CON__Q5D862,7.29,0.8,2,,,,,3.66,0.000
Filamin-A,FLNA,P21333;Q5HY54;P21333-2;A6NDY9,7.94,3.4,7,,,,,5.61,0.000
Filamin-B,FLNB,O75369;O75369-8;O75369-6;O75369-3;O75369-2;O75369-9;E7EN95;O75369-5;O75369-4;O75369-7,7.57,1.6,4,,,,,3.96,0.000
Flavin reductase (NADPH),BLVRB,P30043,7.78,20.9,3,,,,,5.15,0.000
Follistatin-related protein 1,FSTL1,Q12841;B4DTZ8;B4DTT5,7.78,2.3,1,,,,,3.56,0.002
"Fructose-1,6-bisphosphatase 1",FBP1,P09467,7.15,15.1,3,,,,,4.67,0.000
Fructose-bisphosphate aldolase A,ALDOA,P04075;H3BQN4;H3BUH7;H3BR04;H3BPS8,8.55,36.8,11,+,,+,,5.40,0.000
Fructose-bisphosphate aldolase B,ALDOB,P05062;C9J4K3;Q5T7D5,8.51,27.2,7,+,,+,,5.38,0.000
Fructose-bisphosphate aldolase C,ALDOC,P09972;A8MVZ9;B7Z3K7;C9J8F3;B7Z1N6,6.03,3.8,1,,,,,5.40,0.000
"Fumarate hydratase, mitochondrial",FH,P07954;P07954-2,6.33,4.9,2,,,,,3.69,0.000
Fumarylacetoacetase,FAH,P16930;Q53XA7;H0YLC7,6.58,2.9,1,,,,,4.75,0.000
Galectin-1,LGALS1,P09382,7.56,5.9,1,,,,,4.91,0.000
Galectin-3,LGALS3,P17931,7.21,8.4,2,,,,,NaN,0.000
Galectin-3-binding protein,LGALS3BP,Q08380;B4DVE1;B4DI70,9.35,24.6,12,,,,,5.64,0.000
Galectin-7,LGALS7,P47929,NaN,8.8,1,,,,,NaN,0.000
Gamma-glutamyl hydrolase,GGH,Q92820,8.59,10.4,3,,,,,5.40,0.000
Gamma-glutamylcyclotransferase,GGCT,O75223;H7BZK5;E7EU55;B8ZZK2,7.17,6.9,1,,,,,NaN,0.000
GDH/6PGL endoplasmic bifunctional protein;Glucose 1-dehydrogenase;6-phosphogluconolactonase,H6PD,O95479,8.34,8.5,6,,,,,3.69,0.000
Gelsolin,GSN,P06396;F5H1A8;P06396-3;CON__Q3SX14,10.85,54.0,38,,,,,8.25,0.000
Gelsolin,GSN,P06396-2;F5H8M4;F8WA45,7.24,55.0,36,,,,,8.25,0.000
Glucose-6-phosphate 1-dehydrogenase,G6PD,P11413;P11413-3;P11413-2;E7EM57;E7EUI8,7.88,16.1,7,,,,,3.84,0.000
Glucose-6-phosphate isomerase,GPI,P06744;P06744-2,7.83,9.7,5,+,,,,5.18,0.000
Glucosidase 2 subunit beta,PRKCSH,P14314;P14314-2,7.46,8.9,4,,,,,4.18,0.000
"Glutamate dehydrogenase 1, mitochondrial",GLUD1,P00367;F5GYQ4;F8WA20;B4DGN5;B3KV55,NaN,7.2,3,,,,,4.74,0.000
"Glutamate dehydrogenase 2, mitochondrial",GLUD2,P49448,7.18,10.2,5,,,,,NaN,0.000
Glutamyl aminopeptidase,ENPEP,Q07075,6.16,1.1,1,,,,,3.32,0.000
Glutaredoxin-3,GLRX3,O76003,6.94,10.4,2,,,,,NaN,0.000
Glutathione peroxidase 3,GPX3,P22352,9.42,21.2,5,,,,,7.35,0.000
"Glutathione reductase, mitochondrial",GSR,P00390;P00390-2;P00390-3;P00390-5;P00390-4,8.02,10.5,4,,,,,3.54,0.000
Glutathione S-transferase Mu 5;Glutathione S-transferase Mu 2;Glutathione S-transferase Mu 3;Glutathione S-transferase Mu 1,GSTM5;GSTM2;GSTM3;GSTM1,P46439;Q5T8Q9;Q5T8R1;P28161;P21266;P09488;P09488-2;E9PLF1;E9PHN7;E9PHN6;F6XZQ7;E7EWW9;E9PEM9,7.92,3.7,1,,,,,NaN,0.002
Glutathione S-transferase omega-1,GSTO1,P78417;Q5TA02;D3DRA3;Q5TA01;F5H7H0,7.68,7.5,2,,,,,4.52,0.000
Glyceraldehyde-3-phosphate dehydrogenase,GAPDH,P04406;E7EUT4;E7EUT5,9.53,55.2,14,,,,,4.96,0.000
Glycerol kinase;Putative glycerol kinase 3,GK;GK3P,P32189;C9JLT1;E7EQC0;P32189-1;A6NJP5;Q14409;P32189-2,7.07,1.8,1,,,,,NaN,0.000
Glycine N-methyltransferase,GNMT,Q14749,NaN,2.7,1,,,,,NaN,0.002
Glycine--tRNA ligase,GARS,P41250,7.14,1.8,1,,,,,NaN,0.000
"Glycogen phosphorylase, liver form;Phosphorylase;Glycogen phosphorylase, brain form;Glycogen phosphorylase, muscle form",PYGL;PYGB;PYGM,P06737;E9PMM6;E9PK47;F5H816;P11216;P11217;F5GZH7;P11217-2,7.24,1.8,2,,,,,3.67,0.000
Golgi-associated plant pathogenesis-related protein 1,GLIPR2,Q9H4G4;Q5VZR0,8.16,16.9,2,,,,,4.96,0.000
G-protein coupled receptor 126,GPR126,Q86SQ4;Q86SQ4-3;Q86SQ4-2;Q86SQ4-4,7.60,1.8,2,,,,,NaN,0.000
Group XV phospholipase A2,PLA2G15,Q8NCC3;H3BM47;B4DJW4;H3BPT3;H3BMU8,7.14,2.7,1,,,,,NaN,0.000
Growth arrest-specific protein 6,GAS6,Q14393;E9PBL7;Q14393-4;Q14393-3;Q14393-2,6.83,1.4,1,,,,,NaN,0.000
Growth factor receptor-bound protein 2,GRB2,P62993,6.67,3.7,1,,,,,3.46,0.005
"GrpE protein homolog 1, mitochondrial;GrpE protein homolog",GRPEL1,Q9HAV7;B4DWV5,6.71,5.1,1,,,,,NaN,0.001
GTP-binding nuclear protein Ran,RAN,P62826;B5MDF5;F5H018;H0YFC6;B4DV51,8.51,10.2,3,,,,,3.66,0.000
Guanine deaminase,GDA,Q9Y2T3;Q9Y2T3-3,7.31,2.6,1,,,,,3.68,0.000
Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1;Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2;Guanine nucleotide-binding protein subunit beta-4,GNB1;GNB2;GNB4,P62873;P62879;Q9HAV0;E7EP32;B1AKQ8;B1AKQ7;B1AKQ9;C9JZN1;C9JIS1;C9JXA5,7.34,5.9,2,,,,,3.40,0.000
"Guanine nucleotide-binding protein subunit beta-2-like 1;Guanine nucleotide-binding protein subunit beta-2-like 1, N-terminally processed",GNB2L1,P63244;D6RAC2;D6REE5;D6RGK8;H0Y9P0;D6RF23;D6R909;D6RAU2;E9PD14;D6RBD0;D6RFX4;H0YAF8;D6RFZ9;D6RHH4;D6R9Z1;H0YAM7;H0Y8W2;D6R9L0,6.16,3.2,1,,,,,NaN,0.002
Haptoglobin;Haptoglobin alpha chain;Haptoglobin beta chain,HP,P00738;Q0VAC5;I3L0D3;H3BS21,11.14,57.4,25,+,+,,,8.86,0.000
Haptoglobin-related protein,HPR,P00739;P00739-2,9.79,41.1,19,,,,,7.61,0.000
Heat shock 70 kDa protein 1A/1B,HSPA1A,P08107;H0YG33;F8VZJ4;F5H1D3;F5GZ62;E7EP94;Q5SP16,8.46,22.3,12,,,,,5.00,0.000
Heat shock 70 kDa protein 6;Putative heat shock 70 kDa protein 7,HSPA6;HSPA7,P17066;B4DHP5;P48741,7.69,11.2,6,,,,,NaN,0.000
Heat shock cognate 71 kDa protein,HSPA8,P11142;E9PKE3;P11142-2;E9PNE6;E9PN89,9.14,28.0,17,,,,,5.00,0.000
Heat shock protein beta-1,HSPB1,P04792;B4DL87,8.72,40.5,9,,,,,3.72,0.000
Heat shock protein HSP 90-alpha,HSP90AA1,P07900;P07900-2;Q86U12,8.69,30.5,21,,,,,4.94,0.000
Heat shock protein HSP 90-beta,HSP90AB1,P08238,9.22,33.1,23,,,,,4.94,0.000
Hematopoietic progenitor cell antigen CD34,CD34,P28906;Q5JTA5;B4DG27;B4DUX4;P28906-2,7.06,2.1,1,,,,,NaN,0.000
Hemicentin-1,HMCN1,Q96RW7;Q96RW7-2,7.01,0.2,1,,,,,NaN,0.002
Hemicentin-2,HMCN2,Q8NDA2;Q8NDA2-2;Q8NDA2-3,6.10,0.2,1,,,,,NaN,0.000
Hemoglobin subunit alpha,HBA1;HBA2,P69905;G3V1N2,10.21,63.4,7,,,,,7.61,0.000
Hemoglobin subunit beta;LVV-hemorphin-7;Spinorphin,HBB,P68871;F8W6P5,10.58,83.7,11,,,,,7.48,0.000
Hemoglobin subunit delta,HBD,P02042;E9PFT6;E9PEW8,8.53,83.7,11,,,,,7.48,0.000
Hemopexin,HPX,P02790;Q9BS19,11.02,46.8,19,+,+,,,8.56,0.000
Heparin cofactor 2,SERPIND1,P05546,10.39,45.3,19,,,,,7.55,0.000
Hepatocyte growth factor activator;Hepatocyte growth factor activator short chain;Hepatocyte growth factor activator long chain,HGFAC,Q04756;D6RAR4,9.56,12.7,6,,,,,5.38,0.000
Hepatocyte growth factor-like protein;Hepatocyte growth factor-like protein alpha chain;Hepatocyte growth factor-like protein beta chain,MST1,P26927;G3XAK1,8.93,11.8,8,,,,,5.40,0.000
Hepatoma-derived growth factor,HDGF,P51858;A8K8G0;B7Z525;Q5SZ08;Q5SZ07,6.96,7.1,1,,,,,3.62,0.008
Heterogeneous nuclear ribonucleoprotein A/B,HNRNPAB,Q99729;Q99729-3;D6R9P3;D6RD18;D6RBZ0;Q99729-4;Q99729-2,6.73,3.9,1,,,,,NaN,0.000
"Heterogeneous nuclear ribonucleoprotein A1;Heterogeneous nuclear ribonucleoprotein A1, N-terminally processed;Heterogeneous nuclear ribonucleoprotein A1-like 2",HNRNPA1;HNRNPA1L2,P09651;F8VXY0;F8VRQ1;F8W6I7;P09651-3;P09651-2;F8VSB5;F8W1S7;Q32P51;F8VTQ5;F8VZ49,7.97,22.0,6,,,,,3.41,0.000
Heterogeneous nuclear ribonucleoprotein D0,HNRNPD,Q14103;Q14103-3;F5H6R6;H0YA96;H0Y8G5;H7BXN2;B4DTC3;Q14103-4;Q14103-2,NaN,4.5,2,,,,,NaN,0.000
Heterogeneous nuclear ribonucleoprotein D-like,HNRNPDL,O14979;O14979-3;O14979-2,6.94,3.8,1,,,,,NaN,0.000
"Heterogeneous nuclear ribonucleoprotein F;Heterogeneous nuclear ribonucleoprotein F, N-terminally processed",HNRNPF,P52597;B4DKS8,7.63,6.5,2,,,,,NaN,0.000
"Heterogeneous nuclear ribonucleoprotein H;Heterogeneous nuclear ribonucleoprotein H, N-terminally processed;Heterogeneous nuclear ribonucleoprotein H2;Heterogeneous nuclear ribonucleoprotein H2, N-terminally processed",HNRNPH1;HNRNPH2,P31943;P55795;E9PCY7;G8JLB6;E5RGH4;E5RGV0;D6RIU0;D6RBM0;H0YB39;B4DFK9,7.63,9.6,3,,,,,NaN,0.000
Heterogeneous nuclear ribonucleoprotein K,HNRNPK,P61978;P61978-2;Q5T6W5;P61978-3;Q5T6W2;B4DFF1;Q5T6W1,8.44,18.8,7,,,,,3.15,0.000
Heterogeneous nuclear ribonucleoprotein L,HNRNPL,P14866,6.99,1.7,1,,,,,NaN,0.001
Heterogeneous nuclear ribonucleoprotein M,HNRNPM,P52272;P52272-2;Q59ES8;F5H7Z1,7.22,3.3,2,,,,,NaN,0.000
Heterogeneous nuclear ribonucleoprotein Q,SYNCRIP,O60506;F6UXX1;O60506-4;O60506-3;O60506-2,6.69,1.6,1,,,,,NaN,0.000
Heterogeneous nuclear ribonucleoprotein U,HNRNPU,Q00839;Q00839-2;B3KX72,7.82,9.7,5,,,,,3.54,0.000
Heterogeneous nuclear ribonucleoproteins A2/B1,HNRNPA2B1,P22626;P22626-2,8.33,28.9,9,,,,,3.61,0.000
Heterogeneous nuclear ribonucleoproteins C1/C2;Heterogeneous nuclear ribonucleoprotein C-like 1,HNRNPC;HNRNPCL1,P07910;P07910-2;P07910-4;G3V576;G3V4W0;B4DY08;G3V4C1;B2R603;G3V2Q1;O60812;G3V5X6;G3V3K6;G3V251;B4DSU6;G3V555;G3V575;P07910-3,NaN,2.9,1,,,,,3.77,0.000
High mobility group protein B1;Putative high mobility group protein B1-like 1,HMGB1;HMGB1P1,P09429;Q5T7C4;Q5T7C6;B2RPK0,8.22,11.2,2,,,,,4.65,0.000
Histidine triad nucleotide-binding protein 1,HINT1,P49773;D6RC06;D6REP8;D6RE99;D6RD60,7.13,7.1,1,,,,,4.68,0.000
Histidine-rich glycoprotein,HRG,P04196,10.46,31.0,18,,,,,7.91,0.000
Histone H1.2;Histone H1.4;Histone H1.3,HIST1H1C;HIST1H1E;HIST1H1D,P16403;P10412;P16402,8.41,26.8,5,,,,,4.48,0.000
Histone H2A type 2-A;Histone H2A type 1;Histone H2A.J;Histone H2A type 2-C;Histone H2A type 1-J;Histone H2A type 1-C;Histone H2A type 3;Histone H2A type 1-B/E;Histone H2A type 1-H;Histone H2A type 1-D;Histone H2AX;Histone H2A type 1-A;Histone H2A,HIST2H2AA3;HIST1H2AG;H2AFJ;HIST2H2AC;HIST1H2AJ;HIST1H2AC;HIST3H2A;HIST1H2AB;HIST1H2AH;HIST1H2AD;H2AFX;HIST1H2AA,Q6FI13;P0C0S8;Q9BTM1;Q16777;Q99878;Q93077;Q7L7L0;P04908;Q96KK5;P20671;P16104;Q96QV6;H0YFX9;C9JE22;Q9BTM1-2,8.88,32.3,5,,,,,NaN,0.000
Histone H2A.Z;Histone H2A.V,H2AFZ;H2AFV,P0C0S5;Q71UI9;A6NFA8;A6NKY0,NaN,12.5,2,,,,,5.30,0.005
Histone H2B type 1-H;Histone H2B type 1-M;Histone H2B type 1-N;Histone H2B type 2-F;Histone H2B type 1-D;Histone H2B type 1-K;Histone H2B type 1-C/E/F/G/I;Histone H2B type F-S;Histone H2B;Histone H2B type 1-B;Histone H2B type 1-L;Histone H2B type 2-E;Histone H2B type 1-O;Histone H2B type 1-J;Histone H2B type 3-B;Histone H2B type 1-A,HIST1H2BH;HIST1H2BM;HIST1H2BN;HIST2H2BF;HIST1H2BD;HIST1H2BK;HIST1H2BC;H2BFS;HIST1H2BB;HIST1H2BL;HIST2H2BE;HIST1H2BO;HIST1H2BJ;HIST3H2BB;HIST1H2BA,Q93079;Q99879;Q99877;Q5QNW6;P58876;O60814;P62807;P57053;B4DR52;Q5QNW6-2;P33778;Q99880;Q16778;P23527;P06899;Q8N257;Q96A08,9.51,53.2,7,,,,,4.88,0.000
Histone H3.1;Histone H3.3;Histone H3.2;Histone H3.1t;Histone H3.3C;Histone H3,HIST1H3A;H3F3A;HIST2H3A;HIST3H3;H3F3C;HIST2H3PS2,P68431;P84243;Q71DI3;Q16695;Q6NXT2;Q5TEC6;B4DEB1,9.12,21.3,4,,,,,NaN,0.000
Histone H4,HIST1H4A,P62805,9.16,46.6,5,,,,,NaN,0.000
Histone-binding protein RBBP7,RBBP7,Q16576;Q16576-2;E9PC52,6.74,2.1,1,,,,,NaN,0.000
"HLA class I histocompatibility antigen, A-68 alpha chain;HLA class I histocompatibility antigen, A-25 alpha chain;HLA class I histocompatibility antigen, A-66 alpha chain;HLA class I histocompatibility antigen, A-34 alpha chain;HLA class I histocompatibility antigen, A-26 alpha chain;HLA class I histocompatibility antigen, A-33 alpha chain",HLA-A,P01891;P18462;F8VPA0;A2ARK8;Q5SPM3;P30457;P30453;P30450;P16190,NaN,8.2,2,,,,,4.45,0.000
"HLA class I histocompatibility antigen, A-69 alpha chain;HLA class I histocompatibility antigen, A-2 alpha chain",HLA-A,P10316;P01892;H3BM09;A9R9N8;F8VU18;H3BM16;A9R9N7,7.38,8.2,2,,,,,4.45,0.000
"HLA class I histocompatibility antigen, alpha chain G",HLA-G,P17693,7.47,6.8,2,,,,,NaN,0.000
"HLA class I histocompatibility antigen, B-73 alpha chain",HLA-B,Q31612,NaN,2.5,1,,,,,4.45,0.001
"HLA class I histocompatibility antigen, Cw-12 alpha chain;HLA class I histocompatibility antigen, Cw-14 alpha chain;HLA class I histocompatibility antigen, Cw-16 alpha chain;HLA class I histocompatibility antigen, Cw-4 alpha chain",HLA-C,P30508;E7ERM2;B0S7Z4;B0S7Z5;B0S7Z6;P30510;Q29960-2;P30504;Q29960,7.64,14.2,4,,,,,4.45,0.000
"HLA class I histocompatibility antigen, Cw-15 alpha chain;HLA class I histocompatibility antigen, Cw-2 alpha chain;HLA class I histocompatibility antigen, Cw-3 alpha chain",HLA-C,Q07000;P30501;B0V0C2;B0V0B9;B0V0C1;P04222;H0Y7F5,NaN,10.4,3,,,,,4.45,0.000
"HLA class I histocompatibility antigen, Cw-6 alpha chain;HLA class I histocompatibility antigen, Cw-18 alpha chain;HLA class I histocompatibility antigen, Cw-1 alpha chain;HLA class I histocompatibility antigen, Cw-8 alpha chain;HLA class I histocompatibility antigen, Cw-5 alpha chain",HLA-C,B0UY12;B0UY14;B0UY15;Q29963;Q29865;P30499;P30505;Q9TNN7;A2BF26;E9PIT7;H0Y6Q7;A2BF24;A2BF25,NaN,10.3,3,,,,,4.45,0.001
Hornerin,HRNR,Q86YZ3;CON__Q86YZ3,7.11,6.9,3,,,,,5.28,0.000
Hsc70-interacting protein;Putative protein FAM10A4;Putative protein FAM10A5,ST13;ST13P4;ST13P5,P50502;H7C3I1;F6VDH7;Q3KNR6;Q8IZP2;Q8NFI4,NaN,2.7,1,,,,,NaN,0.005
Hyaluronan-binding protein 2;Hyaluronan-binding protein 2 50 kDa heavy chain;Hyaluronan-binding protein 2 50 kDa heavy chain alternate form;Hyaluronan-binding protein 2 27 kDa light chain;Hyaluronan-binding protein 2 27 kDa light chain alternate form,HABP2,Q14520;F5H5M6,9.46,7.3,8,,,,,5.71,0.000
Hypoxanthine-guanine phosphoribosyltransferase,HPRT1,P00492;H7BY78,NaN,14.2,3,,,,,3.41,0.000
Hypoxia up-regulated protein 1,HYOU1,Q9Y4L1;E9PL22;F5H4Z5;F5H4X7,8.05,5.5,4,,,,,3.82,0.000
ICOS ligand,ICOSLG,O75144;O75144-2;A8MUZ1,NaN,3.3,1,,,,,3.34,0.000
Ig alpha-1 chain C region,IGHA1,P01876,11.14,41.4,14,,,,,NaN,0.000
Ig alpha-2 chain C region,IGHA2,P01877,9.38,27.9,11,,,,,NaN,0.000
Ig delta chain C region,IGHD,P01880;P01880-2,9.42,12.8,5,,,,,NaN,0.000
Ig gamma-1 chain C region,IGHG1,P01857,11.73,60.6,16,,,,,NaN,0.000
Ig gamma-2 chain C region,IGHG2,P01859,11.15,51.8,14,,,,,NaN,0.000
Ig gamma-3 chain C region,IGHG3,P01860,9.99,51.5,14,,,,,NaN,0.000
Ig gamma-4 chain C region,IGHG4,P01861,10.99,53.8,14,,,,,8.51,0.000
Ig heavy chain V-I region EU;Ig heavy chain V-I region SIE;Ig heavy chain V-I region Mot,,P01742;P01761;P06326,9.52,27.4,2,,,,,NaN,0.000
Ig heavy chain V-I region HG3,,P01743,8.90,22.2,2,,,,,NaN,0.000
Ig heavy chain V-I region V35,,P23083,9.22,32.5,3,,,,,NaN,0.000
Ig heavy chain V-I region WOL,,P01760,7.11,9.7,1,,,,,NaN,0.001
Ig heavy chain V-II region ARH-77,,P06331,9.63,17.1,2,,,,,NaN,0.000
Ig heavy chain V-II region NEWM,,P01825,7.64,24.8,2,,,,,NaN,0.009
Ig heavy chain V-II region OU;Ig heavy chain V-II region SESS,,P01814;P04438,8.80,12.7,2,,,,,NaN,0.005
Ig heavy chain V-II region WAH,,P01824,8.79,13.2,2,,,,,NaN,0.000
Ig heavy chain V-III region BRO,,P01766,10.48,34.2,3,,,,,NaN,0.000
Ig heavy chain V-III region BUR,,P01773,7.16,9.2,1,,,,,NaN,0.000
Ig heavy chain V-III region BUT,,P01767,9.06,26.1,2,,,,,NaN,0.000
Ig heavy chain V-III region GAL,,P01781,9.31,40.5,4,,,,,NaN,0.000
Ig heavy chain V-III region GAR,,P80419,7.73,23.7,2,,,,,NaN,0.000
Ig heavy chain V-III region HIL,,P01771,7.55,9.1,1,,,,,NaN,0.000
Ig heavy chain V-III region JON,,P01780,8.48,11.3,1,,,,,NaN,0.007
Ig heavy chain V-III region KOL,,P01772,9.49,21.4,2,,,,,NaN,0.000
Ig heavy chain V-III region LAY,,P01775,7.74,16.0,1,,,,,NaN,0.000
Ig heavy chain V-III region TIL,,P01765,9.85,33.9,3,,,,,NaN,0.000
Ig heavy chain V-III region VH26,,P01764,8.85,18.8,2,,,,,NaN,0.000
Ig heavy chain V-III region WAS;Ig heavy chain V-III region TUR;Ig heavy chain V-III region POM,,P01776;P01779;P01774,7.66,23.9,2,,,,,NaN,0.002
Ig heavy chain V-III region WEA,,P01763,8.07,19.3,2,,,,,NaN,0.000
Ig heavy chain V-III region ZAP,,P01778,8.06,16.4,1,,,,,NaN,0.000
Ig kappa chain C region,IGKC,P01834,11.27,84.0,7,,,,,NaN,0.000
Ig kappa chain V-I region AU,,P01594,8.58,31.5,2,,,,,NaN,0.000
Ig kappa chain V-I region BAN,,P04430,9.52,16.7,1,,,,,NaN,0.000
Ig kappa chain V-I region CAR,,P01596,7.26,27.1,2,,,,,NaN,0.003
Ig kappa chain V-I region EU,,P01598,10.00,31.5,3,,,,,NaN,0.000
Ig kappa chain V-I region HK101,,P01601,7.98,13.7,1,,,,,NaN,0.000
Ig kappa chain V-I region HK102,IGKV1-5,P01602,8.14,13.7,1,,,,,NaN,0.000
Ig kappa chain V-I region Ka,,P01603,8.70,38.0,3,,,,,NaN,0.000
Ig kappa chain V-I region Kue,,P01604,9.07,10.2,1,,,,,NaN,0.001
Ig kappa chain V-I region Lay,,P01605,8.81,25.0,2,,,,,NaN,0.000
Ig kappa chain V-I region Mev,,P01612,9.51,45.0,3,,,,,NaN,0.000
Ig kappa chain V-I region Ni,,P01613,9.94,30.4,2,,,,,NaN,0.000
Ig kappa chain V-I region Roy,,P01608,8.45,31.5,3,,,,,NaN,0.003
Ig kappa chain V-I region Scw,,P01609,7.61,42.6,3,,,,,NaN,0.000
Ig kappa chain V-I region WEA;Ig kappa chain V-I region Gal,,P01610;P01599,10.16,38.9,3,,,,,NaN,0.000
Ig kappa chain V-I region Wes,,P01611,9.30,31.5,2,,,,,NaN,0.000
Ig kappa chain V-II region Cum,,P01614,7.89,27.8,4,,,,,NaN,0.007
Ig kappa chain V-II region FR,,P01615,9.15,17.7,3,,,,,NaN,0.000
Ig kappa chain V-II region GM607;Ig kappa chain V-II region TEW,,P06309;P01617,10.62,34.2,4,,,,,NaN,0.000
Ig kappa chain V-II region RPMI 6410,,P06310,9.53,15.0,3,,,,,NaN,0.000
Ig kappa chain V-III region B6,,P01619,8.74,21.3,2,,,,,NaN,0.000
Ig kappa chain V-III region CLL,,P04207;H7C1X1,9.07,24.8,3,,,,,NaN,0.000
Ig kappa chain V-III region HAH;Ig kappa chain V-III region HIC,,P18135;P18136,9.35,42.6,6,,,,,NaN,0.000
Ig kappa chain V-III region IARC/BL41,,P06311,7.49,24.2,2,,,,,NaN,0.000
Ig kappa chain V-III region NG9,,P01621,9.70,48.0,4,,,,,NaN,0.000
Ig kappa chain V-III region POM,,P01624,8.63,31.2,3,,,,,NaN,0.000
Ig kappa chain V-III region SIE,,P01620,10.60,60.6,6,,,,,NaN,0.000
Ig kappa chain V-III region Ti,,P01622,8.92,45.9,5,,,,,NaN,0.007
Ig kappa chain V-III region VG,,P04433,9.93,27.0,3,,,,,NaN,0.000
Ig kappa chain V-IV region B17,,P06314,7.77,22.4,3,,,,,NaN,0.000
Ig kappa chain V-IV region Len,,P01625,10.16,42.1,4,,,,,NaN,0.000
Ig kappa chain V-IV region;Ig kappa chain V-IV region JI,IGKV4-1,P06312;P06313,7.58,24.8,3,,,,,NaN,0.000
Ig lambda chain V region 4A,,P04211,8.97,21.4,3,,,,,NaN,0.000
Ig lambda chain V-I region NEW,,P01701,8.60,18.9,2,,,,,NaN,0.000
Ig lambda chain V-I region VOR,,P01699,9.21,29.7,3,,,,,NaN,0.000
Ig lambda chain V-I region WAH;Ig lambda chain V-I region HA,,P04208;P01700,8.28,27.5,2,,,,,NaN,0.002
Ig lambda chain V-II region BUR,,P01708,8.78,24.8,3,,,,,NaN,0.000
Ig lambda chain V-II region NIG-84,,P04209,8.68,8.0,1,,,,,NaN,0.002
Ig lambda chain V-III region LOI,,P80748,9.84,27.9,3,,,,,NaN,0.000
Ig lambda chain V-III region SH,,P01714,10.10,33.3,3,,,,,NaN,0.000
Ig lambda chain V-IV region Hil,,P01717,9.51,17.8,1,,,,,NaN,0.000
Ig lambda chain V-V region DEL;Ig lambda chain V-VII region MOT,,P01719;P01720,9.13,7.4,1,,,,,NaN,0.003
Ig lambda chain V-VI region SUT;Ig lambda chain V-VI region AR,,P06317;P01721,7.52,14.4,1,,,,,NaN,0.000
Ig lambda chain V-VI region WLT;Ig lambda chain V-VI region EB4,,P06318;P06319,7.79,18.0,1,,,,,NaN,0.000
Ig lambda-2 chain C regions;Ig lambda-3 chain C regions,IGLC2;IGLC3,P0CG05;P0CG06,11.18,93.4,10,,,,,NaN,0.000
Ig lambda-7 chain C region,IGLC7,A0M8Q6,9.03,55.7,6,,,,,NaN,0.000
Ig mu chain C region;Ig mu heavy chain disease protein,IGHM,P01871;P01871-2;P04220,10.53,35.0,14,,,,,8.23,0.000
IgGFc-binding protein,FCGBP,Q9Y6R7,8.87,6.6,17,,,,,5.48,0.000
Immunoglobulin J chain,IGJ,P01591;D6RHJ6;D6RD17;C9JA05,9.44,32.1,5,,,,,6.75,0.000
Immunoglobulin lambda-like polypeptide 1,IGLL1,P15814,8.82,7.0,1,,,,,NaN,0.000
Immunoglobulin lambda-like polypeptide 5;Ig lambda-1 chain C regions,IGLL5;IGLC1,B9A064;P0CG04,10.54,50.0,10,,,,,NaN,0.000
