Majority Protein IDs,Abundance Rank,Sample,Protein Names,LFQ Intensity [log10],Overlap,Abundance Level,Leading razor protein
O75369-9,551.0,,Filamin-B,7.57,Geyer Only,Deep,
E7EN95,551.0,,Filamin-B,7.57,Geyer Only,Deep,
O75369-5,551.0,,Filamin-B,7.57,Geyer Only,Deep,
O75369-4,551.0,,Filamin-B,7.57,Geyer Only,Deep,
O75369-7,551.0,,Filamin-B,7.57,Geyer Only,Deep,
P61956,552.0,,Small ubiquitin-related modifier 2;Small ubiquitin-related modifier 3;Small ubiquitin-related modifier 4,7.57,Geyer Only,Deep,
H7BZT4,552.0,,Small ubiquitin-related modifier 2;Small ubiquitin-related modifier 3;Small ubiquitin-related modifier 4,7.57,Geyer Only,Deep,
P61956-2,552.0,,Small ubiquitin-related modifier 2;Small ubiquitin-related modifier 3;Small ubiquitin-related modifier 4,7.57,Geyer Only,Deep,
P55854,552.0,,Small ubiquitin-related modifier 2;Small ubiquitin-related modifier 3;Small ubiquitin-related modifier 4,7.57,Geyer Only,Deep,
Q6EEV6,552.0,,Small ubiquitin-related modifier 2;Small ubiquitin-related modifier 3;Small ubiquitin-related modifier 4,7.57,Geyer Only,Deep,
A8MUA9,552.0,,Small ubiquitin-related modifier 2;Small ubiquitin-related modifier 3;Small ubiquitin-related modifier 4,7.57,Geyer Only,Deep,
A8MU27,552.0,,Small ubiquitin-related modifier 2;Small ubiquitin-related modifier 3;Small ubiquitin-related modifier 4,7.57,Geyer Only,Deep,
B4DUW4,552.0,,Small ubiquitin-related modifier 2;Small ubiquitin-related modifier 3;Small ubiquitin-related modifier 4,7.57,Geyer Only,Deep,
P28288,553.0,,ATP-binding cassette sub-family D member 3,7.56,Geyer Only,Deep,
F5GYC1,553.0,,ATP-binding cassette sub-family D member 3,7.56,Geyer Only,Deep,
E7EUE1,553.0,,ATP-binding cassette sub-family D member 3,7.56,Geyer Only,Deep,
P28288-3,553.0,,ATP-binding cassette sub-family D member 3,7.56,Geyer Only,Deep,
P28288-2,553.0,,ATP-binding cassette sub-family D member 3,7.56,Geyer Only,Deep,
P55285,554.0,,Cadherin-6,7.56,Geyer Only,Deep,
D6RF86,554.0,,Cadherin-6,7.56,Geyer Only,Deep,
P55285-2,554.0,,Cadherin-6,7.56,Geyer Only,Deep,
P09382,555.0,,Galectin-1,7.56,Geyer Only,Deep,
O15335,556.0,,Chondroadherin,7.56,Geyer Only,Deep,
P20742,557.0,,Pregnancy zone protein,7.56,Geyer Only,Deep,
P20742-2,557.0,,Pregnancy zone protein,7.56,Geyer Only,Deep,
Q9H6X2,558.0,,Anthrax toxin receptor 1,7.56,Geyer Only,Deep,
Q9H6X2-3,558.0,,Anthrax toxin receptor 1,7.56,Geyer Only,Deep,
Q9H6X2-4,558.0,,Anthrax toxin receptor 1,7.56,Geyer Only,Deep,
Q9H6X2-2,558.0,,Anthrax toxin receptor 1,7.56,Geyer Only,Deep,
Q6IN84,559.0,,"rRNA methyltransferase 1, mitochondrial",7.56,Geyer Only,Deep,
P61981,560.0,,"14-3-3 protein gamma;14-3-3 protein gamma, N-terminally processed",7.55,Geyer Only,Deep,
B4DE78,560.0,,"14-3-3 protein gamma;14-3-3 protein gamma, N-terminally processed",7.55,Geyer Only,Deep,
B4DHC4,560.0,,"14-3-3 protein gamma;14-3-3 protein gamma, N-terminally processed",7.55,Geyer Only,Deep,
P28827,561.0,,Receptor-type tyrosine-protein phosphatase mu,7.55,Geyer Only,Deep,
E7EPS8,561.0,,Receptor-type tyrosine-protein phosphatase mu,7.55,Geyer Only,Deep,
F8WA38,561.0,,Receptor-type tyrosine-protein phosphatase mu,7.55,Geyer Only,Deep,
E7EVX9,561.0,,Receptor-type tyrosine-protein phosphatase mu,7.55,Geyer Only,Deep,
P01771,562.0,,Ig heavy chain V-III region HIL,7.55,Geyer Only,Deep,
O00592,563.0,,Podocalyxin,7.54,Geyer Only,Deep,
F5H3W1,563.0,,Podocalyxin,7.54,Geyer Only,Deep,
F5H7A2,563.0,,Podocalyxin,7.54,Geyer Only,Deep,
F5GWY5,563.0,,Podocalyxin,7.54,Geyer Only,Deep,
O00592-2,563.0,,Podocalyxin,7.54,Geyer Only,Deep,
O75390,564.0,,"Citrate synthase, mitochondrial;Citrate synthase",7.54,Geyer Only,Deep,
B4DJV2,564.0,,"Citrate synthase, mitochondrial;Citrate synthase",7.54,Geyer Only,Deep,
H0YIC4,564.0,,"Citrate synthase, mitochondrial;Citrate synthase",7.54,Geyer Only,Deep,
P06732,565.0,,"Creatine kinase M-type;Creatine kinase M-type, N-terminally processed",7.54,Geyer Only,Deep,
P18124,566.0,,60S ribosomal protein L7,7.54,Geyer Only,Deep,
A8MUD9,566.0,,60S ribosomal protein L7,7.54,Geyer Only,Deep,
P05204,567.0,,Non-histone chromosomal protein HMG-17;High mobility group nucleosome-binding domain-containing protein 3,7.53,Geyer Only,Deep,
Q15651,567.0,,Non-histone chromosomal protein HMG-17;High mobility group nucleosome-binding domain-containing protein 3,7.53,Geyer Only,Deep,
Q15651-2,567.0,,Non-histone chromosomal protein HMG-17;High mobility group nucleosome-binding domain-containing protein 3,7.53,Geyer Only,Deep,
Q96AG4,568.0,,Leucine-rich repeat-containing protein 59,7.53,Geyer Only,Deep,
Q12907,569.0,,Vesicular integral-membrane protein VIP36,7.53,Geyer Only,Deep,
B4DWN1,569.0,,Vesicular integral-membrane protein VIP36,7.53,Geyer Only,Deep,
D6RDX1,569.0,,Vesicular integral-membrane protein VIP36,7.53,Geyer Only,Deep,
D6RBV2,569.0,,Vesicular integral-membrane protein VIP36,7.53,Geyer Only,Deep,
D6RIU4,569.0,,Vesicular integral-membrane protein VIP36,7.53,Geyer Only,Deep,
Q9NZT1,570.0,,Calmodulin-like protein 5,7.53,Geyer Only,Deep,
P25398,571.0,,40S ribosomal protein S12,7.53,Geyer Only,Deep,
P23284,572.0,,Peptidyl-prolyl cis-trans isomerase B,7.52,Geyer Only,Deep,
P62851,573.0,,40S ribosomal protein S25,7.52,Geyer Only,Deep,
P36952,574.0,,Serpin B5,7.52,Geyer Only,Deep,
Q99497,575.0,,Protein DJ-1,7.52,Geyer Only,Deep,
P06317,576.0,,Ig lambda chain V-VI region SUT;Ig lambda chain V-VI region AR,7.52,Geyer Only,Deep,
P01721,576.0,,Ig lambda chain V-VI region SUT;Ig lambda chain V-VI region AR,7.52,Geyer Only,Deep,
P49327,577.0,,Fatty acid synthase;[Acyl-carrier-protein] S-acetyltransferase;[Acyl-carrier-protein] S-malonyltransferase;3-oxoacyl-[acyl-carrier-protein] synthase;3-oxoacyl-[acyl-carrier-protein] reductase;3-hydroxyacyl-[acyl-carrier-protein] dehydratase;Enoyl-[acyl-carrier-protein] reductase;Oleoyl-[acyl-carrier-protein] hydrolase,7.51,Geyer Only,Deep,
P42167,578.0,,"Lamina-associated polypeptide 2, isoforms beta/gamma;Thymopoietin;Thymopentin;Lamina-associated polypeptide 2, isoform alpha;Thymopoietin;Thymopentin",7.5,Geyer Only,Deep,
P42166,578.0,,"Lamina-associated polypeptide 2, isoforms beta/gamma;Thymopoietin;Thymopentin;Lamina-associated polypeptide 2, isoform alpha;Thymopoietin;Thymopentin",7.5,Geyer Only,Deep,
P42167-2,578.0,,"Lamina-associated polypeptide 2, isoforms beta/gamma;Thymopoietin;Thymopentin;Lamina-associated polypeptide 2, isoform alpha;Thymopoietin;Thymopentin",7.5,Geyer Only,Deep,
G5E972,578.0,,"Lamina-associated polypeptide 2, isoforms beta/gamma;Thymopoietin;Thymopentin;Lamina-associated polypeptide 2, isoform alpha;Thymopoietin;Thymopentin",7.5,Geyer Only,Deep,
P54802,579.0,,Alpha-N-acetylglucosaminidase;Alpha-N-acetylglucosaminidase 82 kDa form;Alpha-N-acetylglucosaminidase 77 kDa form,7.5,Geyer Only,Deep,
H0Y3D8,579.0,,Alpha-N-acetylglucosaminidase;Alpha-N-acetylglucosaminidase 82 kDa form;Alpha-N-acetylglucosaminidase 77 kDa form,7.5,Geyer Only,Deep,
Q15366,580.0,,Poly(rC)-binding protein 2;Poly(rC)-binding protein 3,7.5,Geyer Only,Deep,
Q15366-4,580.0,,Poly(rC)-binding protein 2;Poly(rC)-binding protein 3,7.5,Geyer Only,Deep,
Q15366-5,580.0,,Poly(rC)-binding protein 2;Poly(rC)-binding protein 3,7.5,Geyer Only,Deep,
B4DRD7,580.0,,Poly(rC)-binding protein 2;Poly(rC)-binding protein 3,7.5,Geyer Only,Deep,
H3BRU6,580.0,,Poly(rC)-binding protein 2;Poly(rC)-binding protein 3,7.5,Geyer Only,Deep,
F8VWQ4,580.0,,Poly(rC)-binding protein 2;Poly(rC)-binding protein 3,7.5,Geyer Only,Deep,
F8VZX2,580.0,,Poly(rC)-binding protein 2;Poly(rC)-binding protein 3,7.5,Geyer Only,Deep,
B4DXP5,580.0,,Poly(rC)-binding protein 2;Poly(rC)-binding protein 3,7.5,Geyer Only,Deep,
F8VRG9,580.0,,Poly(rC)-binding protein 2;Poly(rC)-binding protein 3,7.5,Geyer Only,Deep,
G3V0E8,580.0,,Poly(rC)-binding protein 2;Poly(rC)-binding protein 3,7.5,Geyer Only,Deep,
Q15366-3,580.0,,Poly(rC)-binding protein 2;Poly(rC)-binding protein 3,7.5,Geyer Only,Deep,
Q15366-2,580.0,,Poly(rC)-binding protein 2;Poly(rC)-binding protein 3,7.5,Geyer Only,Deep,
B4DLC0,580.0,,Poly(rC)-binding protein 2;Poly(rC)-binding protein 3,7.5,Geyer Only,Deep,
P57721,580.0,,Poly(rC)-binding protein 2;Poly(rC)-binding protein 3,7.5,Geyer Only,Deep,
F8W0G4,580.0,,Poly(rC)-binding protein 2;Poly(rC)-binding protein 3,7.5,Geyer Only,Deep,
F8VXH9,580.0,,Poly(rC)-binding protein 2;Poly(rC)-binding protein 3,7.5,Geyer Only,Deep,
H3BSS4,580.0,,Poly(rC)-binding protein 2;Poly(rC)-binding protein 3,7.5,Geyer Only,Deep,
H9KV40,580.0,,Poly(rC)-binding protein 2;Poly(rC)-binding protein 3,7.5,Geyer Only,Deep,
E9PFP8,580.0,,Poly(rC)-binding protein 2;Poly(rC)-binding protein 3,7.5,Geyer Only,Deep,
P57721-2,580.0,,Poly(rC)-binding protein 2;Poly(rC)-binding protein 3,7.5,Geyer Only,Deep,
P57721-3,580.0,,Poly(rC)-binding protein 2;Poly(rC)-binding protein 3,7.5,Geyer Only,Deep,
P57721-5,580.0,,Poly(rC)-binding protein 2;Poly(rC)-binding protein 3,7.5,Geyer Only,Deep,
P57721-4,580.0,,Poly(rC)-binding protein 2;Poly(rC)-binding protein 3,7.5,Geyer Only,Deep,
A1L4H1,581.0,,Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D,7.5,Geyer Only,Deep,
F5GZN4,581.0,,Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D,7.5,Geyer Only,Deep,
A1L4H1-2,581.0,,Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D,7.5,Geyer Only,Deep,
P09668,582.0,,Pro-cathepsin H;Cathepsin H mini chain;Cathepsin H;Cathepsin H heavy chain;Cathepsin H light chain,7.5,Geyer Only,Deep,
E9PBP2,582.0,,Pro-cathepsin H;Cathepsin H mini chain;Cathepsin H;Cathepsin H heavy chain;Cathepsin H light chain,7.5,Geyer Only,Deep,
P06311,583.0,,Ig kappa chain V-III region IARC/BL41,7.49,Geyer Only,Deep,
O00299,584.0,,Chloride intracellular channel protein 1,7.49,Geyer Only,Deep,
Q16658,585.0,,Fascin,7.49,Geyer Only,Deep,
P18669,586.0,,Phosphoglycerate mutase 1,7.49,Geyer Only,Deep,
Q9BUN1,587.0,,Protein MENT,7.48,Geyer Only,Deep,
P40926,588.0,,"Malate dehydrogenase, mitochondrial;Malate dehydrogenase",7.48,Geyer Only,Deep,
G3XAL0,588.0,,"Malate dehydrogenase, mitochondrial;Malate dehydrogenase",7.48,Geyer Only,Deep,
E9PDB2,588.0,,"Malate dehydrogenase, mitochondrial;Malate dehydrogenase",7.48,Geyer Only,Deep,
Q7Z3B1,589.0,,Neuronal growth regulator 1,7.48,Geyer Only,Deep,
Q8N440,589.0,,Neuronal growth regulator 1,7.48,Geyer Only,Deep,
Q9HB71,590.0,,Calcyclin-binding protein,7.48,Geyer Only,Deep,
Q5R370,590.0,,Calcyclin-binding protein,7.48,Geyer Only,Deep,
B3KSF1,590.0,,Calcyclin-binding protein,7.48,Geyer Only,Deep,
P23467-3,591.0,,Receptor-type tyrosine-protein phosphatase beta,7.48,Geyer Only,Deep,
F8VU56,591.0,,Receptor-type tyrosine-protein phosphatase beta,7.48,Geyer Only,Deep,
P23467,591.0,,Receptor-type tyrosine-protein phosphatase beta,7.48,Geyer Only,Deep,
F8VSD5,591.0,,Receptor-type tyrosine-protein phosphatase beta,7.48,Geyer Only,Deep,
P23467-2,591.0,,Receptor-type tyrosine-protein phosphatase beta,7.48,Geyer Only,Deep,
F5H3G6,591.0,,Receptor-type tyrosine-protein phosphatase beta,7.48,Geyer Only,Deep,
F5H0Y4,591.0,,Receptor-type tyrosine-protein phosphatase beta,7.48,Geyer Only,Deep,
Q6ZR19,591.0,,Receptor-type tyrosine-protein phosphatase beta,7.48,Geyer Only,Deep,
P17693,592.0,,"HLA class I histocompatibility antigen, alpha chain G",7.47,Geyer Only,Deep,
Q8N6C8,593.0,,Leukocyte immunoglobulin-like receptor subfamily A member 3,7.47,Geyer Only,Deep,
P14314,594.0,,Glucosidase 2 subunit beta,7.46,Geyer Only,Deep,
P14314-2,594.0,,Glucosidase 2 subunit beta,7.46,Geyer Only,Deep,
Q13093,595.0,,Platelet-activating factor acetylhydrolase,7.46,Geyer Only,Deep,
F5GYY6,595.0,,Platelet-activating factor acetylhydrolase,7.46,Geyer Only,Deep,
P47914,596.0,,60S ribosomal protein L29,7.46,Geyer Only,Deep,
Q14118,597.0,,Dystroglycan;Alpha-dystroglycan;Beta-dystroglycan,7.46,Geyer Only,Deep,
E9PE70,597.0,,Dystroglycan;Alpha-dystroglycan;Beta-dystroglycan,7.46,Geyer Only,Deep,
P00325,598.0,,Alcohol dehydrogenase 1B;Alcohol dehydrogenase 1A;Alcohol dehydrogenase 1C,7.46,Geyer Only,Deep,
P07327,598.0,,Alcohol dehydrogenase 1B;Alcohol dehydrogenase 1A;Alcohol dehydrogenase 1C,7.46,Geyer Only,Deep,
F5HB16,598.0,,Alcohol dehydrogenase 1B;Alcohol dehydrogenase 1A;Alcohol dehydrogenase 1C,7.46,Geyer Only,Deep,
A8MYN5,598.0,,Alcohol dehydrogenase 1B;Alcohol dehydrogenase 1A;Alcohol dehydrogenase 1C,7.46,Geyer Only,Deep,
P00326,598.0,,Alcohol dehydrogenase 1B;Alcohol dehydrogenase 1A;Alcohol dehydrogenase 1C,7.46,Geyer Only,Deep,
B7ZB36,598.0,,Alcohol dehydrogenase 1B;Alcohol dehydrogenase 1A;Alcohol dehydrogenase 1C,7.46,Geyer Only,Deep,
O14786,599.0,,Neuropilin-1,7.45,Geyer Only,Deep,
E9PEP6,599.0,,Neuropilin-1,7.45,Geyer Only,Deep,
E7EX60,599.0,,Neuropilin-1,7.45,Geyer Only,Deep,
Q5T7F0,599.0,,Neuropilin-1,7.45,Geyer Only,Deep,
Q5T7F1,599.0,,Neuropilin-1,7.45,Geyer Only,Deep,
O14786-2,599.0,,Neuropilin-1,7.45,Geyer Only,Deep,
Q5JWQ6,599.0,,Neuropilin-1,7.45,Geyer Only,Deep,
Q99536,600.0,,Synaptic vesicle membrane protein VAT-1 homolog,7.45,Geyer Only,Deep,
B3KUF8,600.0,,Synaptic vesicle membrane protein VAT-1 homolog,7.45,Geyer Only,Deep,
B0AZP7,600.0,,Synaptic vesicle membrane protein VAT-1 homolog,7.45,Geyer Only,Deep,
E9PS42,601.0,,Cysteine and glycine-rich protein 1,7.45,Geyer Only,Deep,
P21291,601.0,,Cysteine and glycine-rich protein 1,7.45,Geyer Only,Deep,
E9PND2,601.0,,Cysteine and glycine-rich protein 1,7.45,Geyer Only,Deep,
E9PP21,601.0,,Cysteine and glycine-rich protein 1,7.45,Geyer Only,Deep,
P50914,602.0,,60S ribosomal protein L14,7.45,Geyer Only,Deep,
E7EPB3,602.0,,60S ribosomal protein L14,7.45,Geyer Only,Deep,
B7Z6S8,602.0,,60S ribosomal protein L14,7.45,Geyer Only,Deep,
P10721,603.0,,Mast/stem cell growth factor receptor Kit,7.45,Geyer Only,Deep,
P10721-2,603.0,,Mast/stem cell growth factor receptor Kit,7.45,Geyer Only,Deep,
P10721-3,603.0,,Mast/stem cell growth factor receptor Kit,7.45,Geyer Only,Deep,
P26599,604.0,,Polypyrimidine tract-binding protein 1,7.44,Geyer Only,Deep,
P26599-2,604.0,,Polypyrimidine tract-binding protein 1,7.44,Geyer Only,Deep,
P26599-3,604.0,,Polypyrimidine tract-binding protein 1,7.44,Geyer Only,Deep,
P02792,605.0,,Ferritin light chain,7.44,Geyer Only,Deep,
F5H1X1,605.0,,Ferritin light chain,7.44,Geyer Only,Deep,
Q86U17,606.0,,Serpin A11,7.44,Geyer Only,Deep,
P06454,607.0,,"Prothymosin alpha;Prothymosin alpha, N-terminally processed;Thymosin alpha-1",7.44,Geyer Only,Deep,
P06454-2,607.0,,"Prothymosin alpha;Prothymosin alpha, N-terminally processed;Thymosin alpha-1",7.44,Geyer Only,Deep,
B8ZZQ6,607.0,,"Prothymosin alpha;Prothymosin alpha, N-terminally processed;Thymosin alpha-1",7.44,Geyer Only,Deep,
B8ZZA1,607.0,,"Prothymosin alpha;Prothymosin alpha, N-terminally processed;Thymosin alpha-1",7.44,Geyer Only,Deep,
B8ZZW7,607.0,,"Prothymosin alpha;Prothymosin alpha, N-terminally processed;Thymosin alpha-1",7.44,Geyer Only,Deep,
H7C2N1,607.0,,"Prothymosin alpha;Prothymosin alpha, N-terminally processed;Thymosin alpha-1",7.44,Geyer Only,Deep,
P02788,608.0,,Lactotransferrin;Lactoferricin-H;Kaliocin-1;Lactoferroxin-A;Lactoferroxin-B;Lactoferroxin-C,7.44,Geyer Only,Deep,
E7EQB2,608.0,,Lactotransferrin;Lactoferricin-H;Kaliocin-1;Lactoferroxin-A;Lactoferroxin-B;Lactoferroxin-C,7.44,Geyer Only,Deep,
E7ER44,608.0,,Lactotransferrin;Lactoferricin-H;Kaliocin-1;Lactoferroxin-A;Lactoferroxin-B;Lactoferroxin-C,7.44,Geyer Only,Deep,
B7Z4X2,608.0,,Lactotransferrin;Lactoferricin-H;Kaliocin-1;Lactoferroxin-A;Lactoferroxin-B;Lactoferroxin-C,7.44,Geyer Only,Deep,
P22692,609.0,,Insulin-like growth factor-binding protein 4,7.44,Geyer Only,Deep,
B4E351,609.0,,Insulin-like growth factor-binding protein 4,7.44,Geyer Only,Deep,
O75531,610.0,,"Barrier-to-autointegration factor;Barrier-to-autointegration factor, N-terminally processed",7.44,Geyer Only,Deep,
P62701,611.0,,"40S ribosomal protein S4, X isoform;40S ribosomal protein S4, Y isoform 1",7.43,Geyer Only,Deep,
P22090,611.0,,"40S ribosomal protein S4, X isoform;40S ribosomal protein S4, Y isoform 1",7.43,Geyer Only,Deep,
C9JEH7,611.0,,"40S ribosomal protein S4, X isoform;40S ribosomal protein S4, Y isoform 1",7.43,Geyer Only,Deep,
P00403,612.0,,Cytochrome c oxidase subunit 2,7.42,Geyer Only,Deep,
Q6E0U4-2,613.0,,Dermokine,7.42,Geyer Only,Deep,
E7EUS0,613.0,,Dermokine,7.42,Geyer Only,Deep,
Q6E0U4-6,613.0,,Dermokine,7.42,Geyer Only,Deep,
C9J4P6,613.0,,Dermokine,7.42,Geyer Only,Deep,
Q6E0U4-5,613.0,,Dermokine,7.42,Geyer Only,Deep,
Q6E0U4,613.0,,Dermokine,7.42,Geyer Only,Deep,
H7C145,613.0,,Dermokine,7.42,Geyer Only,Deep,
H7BZ95,613.0,,Dermokine,7.42,Geyer Only,Deep,
C9IYI1,613.0,,Dermokine,7.42,Geyer Only,Deep,
CON__A3EZ82,613.0,,Dermokine,7.42,Geyer Only,Deep,
Q6E0U4-7,613.0,,Dermokine,7.42,Geyer Only,Deep,
Q6E0U4-3,613.0,,Dermokine,7.42,Geyer Only,Deep,
Q6E0U4-4,613.0,,Dermokine,7.42,Geyer Only,Deep,
Q9NZ08,614.0,,Endoplasmic reticulum aminopeptidase 1,7.42,Geyer Only,Deep,
Q9NZ08-2,614.0,,Endoplasmic reticulum aminopeptidase 1,7.42,Geyer Only,Deep,
P41567,615.0,,Eukaryotic translation initiation factor 1;Eukaryotic translation initiation factor 1b,7.41,Geyer Only,Deep,
O60739,615.0,,Eukaryotic translation initiation factor 1;Eukaryotic translation initiation factor 1b,7.41,Geyer Only,Deep,
Q9UBQ6,616.0,,Exostosin-like 2;Processed exostosin-like 2,7.4,Geyer Only,Deep,
F5GZK1,616.0,,Exostosin-like 2;Processed exostosin-like 2,7.4,Geyer Only,Deep,
C9JEG3,616.0,,Exostosin-like 2;Processed exostosin-like 2,7.4,Geyer Only,Deep,
P46940,617.0,,Ras GTPase-activating-like protein IQGAP1,7.39,Geyer Only,Deep,
H0YLE8,617.0,,Ras GTPase-activating-like protein IQGAP1,7.39,Geyer Only,Deep,
P07814,618.0,,Bifunctional glutamate/proline--tRNA ligase;Glutamate--tRNA ligase;Proline--tRNA ligase,7.39,Geyer Only,Deep,
F5H7I7,618.0,,Bifunctional glutamate/proline--tRNA ligase;Glutamate--tRNA ligase;Proline--tRNA ligase,7.39,Geyer Only,Deep,
E7EMN0,618.0,,Bifunctional glutamate/proline--tRNA ligase;Glutamate--tRNA ligase;Proline--tRNA ligase,7.39,Geyer Only,Deep,
P17301,619.0,,Integrin alpha-2,7.39,Geyer Only,Deep,
E7ESP4,619.0,,Integrin alpha-2,7.39,Geyer Only,Deep,
E7EMF1,619.0,,Integrin alpha-2,7.39,Geyer Only,Deep,
Q8NI99,620.0,,Angiopoietin-related protein 6,7.39,Geyer Only,Deep,
P30086,621.0,,Phosphatidylethanolamine-binding protein 1;Hippocampal cholinergic neurostimulating peptide,7.39,Geyer Only,Deep,
B4DRT4,621.0,,Phosphatidylethanolamine-binding protein 1;Hippocampal cholinergic neurostimulating peptide,7.39,Geyer Only,Deep,
P54289,622.0,,Voltage-dependent calcium channel subunit alpha-2/delta-1;Voltage-dependent calcium channel subunit alpha-2-1;Voltage-dependent calcium channel subunit delta-1,7.39,Geyer Only,Deep,
F8WC36,622.0,,Voltage-dependent calcium channel subunit alpha-2/delta-1;Voltage-dependent calcium channel subunit alpha-2-1;Voltage-dependent calcium channel subunit delta-1,7.39,Geyer Only,Deep,
P54289-5,622.0,,Voltage-dependent calcium channel subunit alpha-2/delta-1;Voltage-dependent calcium channel subunit alpha-2-1;Voltage-dependent calcium channel subunit delta-1,7.39,Geyer Only,Deep,
P54289-2,622.0,,Voltage-dependent calcium channel subunit alpha-2/delta-1;Voltage-dependent calcium channel subunit alpha-2-1;Voltage-dependent calcium channel subunit delta-1,7.39,Geyer Only,Deep,
P54289-3,622.0,,Voltage-dependent calcium channel subunit alpha-2/delta-1;Voltage-dependent calcium channel subunit alpha-2-1;Voltage-dependent calcium channel subunit delta-1,7.39,Geyer Only,Deep,
P54289-4,622.0,,Voltage-dependent calcium channel subunit alpha-2/delta-1;Voltage-dependent calcium channel subunit alpha-2-1;Voltage-dependent calcium channel subunit delta-1,7.39,Geyer Only,Deep,
P27348,623.0,,14-3-3 protein theta,7.39,Geyer Only,Deep,
E9PG15,623.0,,14-3-3 protein theta,7.39,Geyer Only,Deep,
B4DMT8,623.0,,14-3-3 protein theta,7.39,Geyer Only,Deep,
P10316,624.0,,"HLA class I histocompatibility antigen, A-69 alpha chain;HLA class I histocompatibility antigen, A-2 alpha chain",7.38,Geyer Only,Deep,
P01892,624.0,,"HLA class I histocompatibility antigen, A-69 alpha chain;HLA class I histocompatibility antigen, A-2 alpha chain",7.38,Geyer Only,Deep,
H3BM09,624.0,,"HLA class I histocompatibility antigen, A-69 alpha chain;HLA class I histocompatibility antigen, A-2 alpha chain",7.38,Geyer Only,Deep,
A9R9N8,624.0,,"HLA class I histocompatibility antigen, A-69 alpha chain;HLA class I histocompatibility antigen, A-2 alpha chain",7.38,Geyer Only,Deep,
F8VU18,624.0,,"HLA class I histocompatibility antigen, A-69 alpha chain;HLA class I histocompatibility antigen, A-2 alpha chain",7.38,Geyer Only,Deep,
H3BM16,624.0,,"HLA class I histocompatibility antigen, A-69 alpha chain;HLA class I histocompatibility antigen, A-2 alpha chain",7.38,Geyer Only,Deep,
A9R9N7,624.0,,"HLA class I histocompatibility antigen, A-69 alpha chain;HLA class I histocompatibility antigen, A-2 alpha chain",7.38,Geyer Only,Deep,
P35579,625.0,,Myosin-9,7.38,Geyer Only,Deep,
P35579-2,625.0,,Myosin-9,7.38,Geyer Only,Deep,
P42766,626.0,,60S ribosomal protein L35,7.38,Geyer Only,Deep,
H0Y3A0,626.0,,60S ribosomal protein L35,7.38,Geyer Only,Deep,
F2Z388,626.0,,60S ribosomal protein L35,7.38,Geyer Only,Deep,
P04179,627.0,,"Superoxide dismutase [Mn], mitochondrial",7.38,Geyer Only,Deep,
F5H4R2,627.0,,"Superoxide dismutase [Mn], mitochondrial",7.38,Geyer Only,Deep,
F5GYZ5,627.0,,"Superoxide dismutase [Mn], mitochondrial",7.38,Geyer Only,Deep,
B4E3K9,627.0,,"Superoxide dismutase [Mn], mitochondrial",7.38,Geyer Only,Deep,
B3KUK2,627.0,,"Superoxide dismutase [Mn], mitochondrial",7.38,Geyer Only,Deep,
F5H3C5,627.0,,"Superoxide dismutase [Mn], mitochondrial",7.38,Geyer Only,Deep,
P04179-2,627.0,,"Superoxide dismutase [Mn], mitochondrial",7.38,Geyer Only,Deep,
P62857,628.0,,40S ribosomal protein S28,7.38,Geyer Only,Deep,
P42677,629.0,,40S ribosomal protein S27;40S ribosomal protein S27-like,7.38,Geyer Only,Deep,
Q71UM5,629.0,,40S ribosomal protein S27;40S ribosomal protein S27-like,7.38,Geyer Only,Deep,
C9J1C5,629.0,,40S ribosomal protein S27;40S ribosomal protein S27-like,7.38,Geyer Only,Deep,
Q5T4L4,629.0,,40S ribosomal protein S27;40S ribosomal protein S27-like,7.38,Geyer Only,Deep,
H0YMV8,629.0,,40S ribosomal protein S27;40S ribosomal protein S27-like,7.38,Geyer Only,Deep,
P17174,630.0,,"Aspartate aminotransferase, cytoplasmic;Aspartate aminotransferase",7.37,Geyer Only,Deep,
B7Z1I2,630.0,,"Aspartate aminotransferase, cytoplasmic;Aspartate aminotransferase",7.37,Geyer Only,Deep,
B7Z7E9,630.0,,"Aspartate aminotransferase, cytoplasmic;Aspartate aminotransferase",7.37,Geyer Only,Deep,
O43505,631.0,,"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase",7.37,Geyer Only,Deep,
P60842,632.0,,Eukaryotic initiation factor 4A-I,7.37,Geyer Only,Deep,
O94985,633.0,,Calsyntenin-1;Soluble Alc-alpha;CTF1-alpha,7.37,Geyer Only,Deep,
B4E3Q1,633.0,,Calsyntenin-1;Soluble Alc-alpha;CTF1-alpha,7.37,Geyer Only,Deep,
O94985-2,633.0,,Calsyntenin-1;Soluble Alc-alpha;CTF1-alpha,7.37,Geyer Only,Deep,
Q5SR54,633.0,,Calsyntenin-1;Soluble Alc-alpha;CTF1-alpha,7.37,Geyer Only,Deep,
Q9NUU7,634.0,,ATP-dependent RNA helicase DDX19A;ATP-dependent RNA helicase DDX19B,7.37,Geyer Only,Deep,
Q9UMR2,634.0,,ATP-dependent RNA helicase DDX19A;ATP-dependent RNA helicase DDX19B,7.37,Geyer Only,Deep,
